Trip ID,City,Country,Start date,End date,Duration (days),Accommodation type,Accommodation cost,Transportation type,Transportation cost
1,London,UK,5/1/2023,5/8/2023,7,Hotel,1200.0,Flight,600.0
2,Phuket,Thailand,6/15/2023,6/20/2023,5,Resort,800.0,Flight,500.0
3,Bali,Indonesia,7/1/2023,7/8/2023,7,Villa,1000.0,Flight,700.0
4,New York,USA,8/15/2023,8/29/2023,14,Hotel,2000.0,Flight,1000.0
5,Tokyo,Japan,9/10/2023,9/17/2023,7,Airbnb,700.0,Train,200.0
6,Paris,France,10/5/2023,10/10/2023,5,Hotel,1500.0,Flight,800.0
7,Sydney,Australia,11/20/2023,11/30/2023,10,Hostel,500.0,Flight,1200.0
8,Rio de Janeiro,Brazil,1/5/2024,1/12/2024,7,Airbnb,900.0,Flight,600.0
9,Amsterdam,Netherlands,2/14/2024,2/21/2024,7,Hotel,1200.0,Train,200.0
10,Dubai,United Arab Emirates,3/10/2024,3/17/2024,7,Resort,2500.0,Flight,800.0
11,Cancun,Mexico,4/1/2024,4/8/2024,7,Hotel,1000.0,Flight,500.0
12,Barcelona,Spain,5/15/2024,5/22/2024,7,Airbnb,800.0,Train,100.0
13,Honolulu,USA,6/10/2024,6/18/2024,8,Resort,3000.0,Flight,1200.0
14,Berlin,Germany,7/1/2024,7/10/2024,9,Hotel,1400.0,Flight,700.0
15,Marrakech,Morocco,8/20/2024,8/27/2024,7,Riad,600.0,Flight,400.0
16,Edinburgh,Scotland,9/5/2024,9/12/2024,7,Hotel,900.0,Train,150.0
17,Nice,France,9/1/2023,9/10/2023,9,Hotel,900.0,Flight,400.0
18,Bali,Indonesia,8/15/2023,8/25/2023,10,Resort,1500.0,Flight,700.0
19,London,UK,7/22/2023,7/28/2023,6,Hotel,1200.0,Train,150.0
20,Tokyo,Japan,10/5/2023,10/15/2023,10,Hotel,1200.0,Flight,800.0
21,New York,USA,11/20/2023,11/25/2023,5,Airbnb,600.0,Bus,100.0
22,Sydney,Australia,12/5/2023,12/12/2023,7,Hotel,1000.0,Flight,600.0
23,Rome,Italy,11/1/2023,11/8/2023,7,Airbnb,700.0,Train,80.0
24,Bangkok,Thailand,9/15/2023,9/23/2023,8,Hostel,400.0,Flight,500.0
25,Paris,France,12/22/2023,12/28/2023,6,Hotel,1400.0,Train,100.0
26,Hawaii,USA,8/1/2023,8/10/2023,9,Resort,2000.0,Flight,800.0
27,Barcelona,Spain,10/20/2023,10/28/2023,8,Hotel,1100.0,Train,150.0
28,Kyoto,Japan,5/10/2022,5/18/2022,8,Hotel,800.0,Flight,500.0
29,Mumbai,India,6/15/2022,6/22/2022,7,Hostel,200.0,Train,150.0
30,Nice,France,7/2/2022,7/11/2022,9,Airbnb,600.0,Car rental,300.0
31,Sydney,Australia,8/20/2022,9/2/2022,13,Hotel,1000.0,Car rental,500.0
32,Rio de Janeiro,Brazil,9/5/2022,9/14/2022,9,Hostel,150.0,Bus,50.0
33,Athens,Greece,10/12/2022,10/20/2022,8,Airbnb,400.0,Flight,600.0
34,Cairo,Egypt,11/8/2022,11/15/2022,7,Hotel,700.0,Train,100.0
35,Mexico City,Mexico,1/5/2023,1/15/2023,10,Airbnb,500.0,Flight,800.0
36,Milan,Italy,2/14/2023,2/20/2023,6,Hostel,180.0,Train,120.0
37,Madrid,Spain,3/23/2023,3/31/2023,8,Hotel,900.0,Car rental,400.0
38,Banff,Canada,4/19/2023,4/26/2023,7,Airbnb,350.0,Bus,75.0
39,Paris,France,6/12/2022,6/19/2022,7,Hotel,1400.0,Flight,600.0
40,Sydney,Australia,1/2/2023,1/9/2023,7,Airbnb,800.0,Train,150.0
41,Tokyo,Japan,12/10/2022,12/18/2022,8,Hostel,500.0,Flight,900.0
42,Cancun,Mexico,7/1/2023,7/8/2023,7,Resort,2200.0,Flight,800.0
43,Rio de Janeiro,Brazil,11/20/2022,11/27/2022,7,Hotel,1200.0,Flight,700.0
44,London,UK,3/5/2023,3/12/2023,7,Airbnb,900.0,Train,100.0
45,Barcelona,Spain,8/18/2023,8/25/2023,7,Hostel,600.0,Flight,600.0
46,New York,USA,9/15/2022,9/22/2022,7,Hotel,1500.0,Flight,500.0
47,Bangkok,Thailand,5/1/2023,5/7/2023,6,Airbnb,500.0,Bus,50.0
48,Vancouver,Canada,7/10/2022,7/17/2022,7,Hostel,400.0,Train,150.0
49,Amsterdam,Netherlands,6/20/2023,6/28/2023,8,Hotel,1100.0,Flight,700.0
50,Paris,France,8/15/2023,8/22/2023,7,Hotel,1200.0,Train,300.0
